  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           3	   1.847	   0.248	  0.088	  1.611	   3.333	        4.54	   -0.461
           5	   1.314	   0.326	  0.087	  2.333	   3    	        5.66	   -1.06
           5	   1.108	   0.254	  0.128	  2.169	   2.2  	        5.47	   -1.459
           4	   1.816	   0.308	  0.092	  2.425	   3.5  	        5.12	   -1.141
           5	   1.108	   0.254	  0.14 	  1.971	   2.2  	        6.03	   -1.273
           4	   1.643	   0.129	  0.056	  1.75 	   2    	        5.61	   -1.578
           5	   1.353	   0.39 	  0.09 	  2.246	   3.4  	        5.78	   -0.679
           4	   1.457	   0.262	  0.14 	  2.016	   3.75 	        5.46	   -0.125
           5	   1.566	   0.395	  0.137	  2.836	   3.4  	        5.52	   -1.534
           4	   1.156	   0.186	  0.059	  1.68 	   1.75 	        5.1 	   -1.331
           3	   2.255	   0.245	  0.06 	  1.745	   3.333	        5.82	   -0.972
           5	   1.906	   0.449	  0.137	  3.509	   4    	        5.6 	   -2.001
           5	   1.467	   0.386	  0.151	  2.668	   3.8  	        5.68	   -0.872
           4	   2.094	   0.372	  0.095	  2.322	   4    	        5.1 	   -0.883
           5	   1.754	   0.287	  0.094	  2.443	   2.6  	        5.6 	   -1.978
           3	   2.361	   0.307	  0.096	  2.405	   4.667	        4.66	   -0.502
           4	   1.66 	   0.139	  0.053	  1.727	   2.25 	        5.21	   -1.329
           5	   1.314	   0.309	  0.089	  2.458	   2.8  	        6.62	   -1.37
           4	   1.643	   0.129	  0.056	  1.75 	   2    	        5.23	   -1.578
           3	   1.878	   0.129	  0.066	  1.75 	   2.667	        4.55	   -1.156
           5	   1.314	   0.235	  0.086	  2.307	   2.8  	        5.47	   -1.142
           5	   1.958	   0.402	  0.12 	  2.889	   3.8  	        5.74	   -1.569
           3	   1.889	   0.129	  0.064	  1.75 	   2.667	        4.37	   -1.165
           3	   1.901	   0.139	  0.06 	  1.727	   3    	        4.54	   -0.827
           4	   2.045	   0.35 	  0.108	  2.344	   4    	        5.09	   -0.847
           5	   1.754	   0.42 	  0.119	  2.906	   3.8  	        5.91	   -1.399
           5	   1.314	   0.309	  0.089	  2.458	   2.8  	        5.5 	   -1.37
           5	   1.453	   0.33 	  0.087	  2.322	   3.4  	        5.39	   -0.792
           5	   1.314	   0.321	  0.089	  2.381	   2.8  	        5.4 	   -1.305
           4	   1.66 	   0.322	  0.101	  2.417	   3.5  	        5.15	   -1
           3	   2.213	   0.129	  0.064	  1.75 	   2.667	        4.53	   -1.489
           3	   2.54 	   0.381	  0.063	  2.257	   6.333	        4.82	    1.092
           4	   1.643	   0.129	  0.056	  1.75 	   2    	        4.94	   -1.578
           3	   1.311	   0    	  0.027	  1    	   0    	        4.88	   -2.338
           4	   1.86 	   0.402	  0.161	  2.915	   4.75 	        5.36	   -0.588
           4	   1.643	   0.129	  0.056	  1.75 	   2    	        5.63	   -1.578
           5	   1.314	   0.306	  0.087	  2.443	   2.8  	        5.44	   -1.35
           3	   1.311	   0.047	  0.158	  1.286	   1.667	        4.78	   -1.135
           5	   1.683	   0.406	  0.17 	  2.99 	   4.4  	        5.77	   -0.849
           3	   0.999	   0.179	  0.088	  1.693	   2    	        4.91	   -0.959
           4	   0.983	   0.179	  0.065	  1.724	   1.5  	        5.35	   -1.451
           4	   2.241	   0.389	  0.102	  2.454	   4    	        5.34	   -1.186
           3	   2.255	   0.247	  0.069	  1.645	   3.667	        4.95	   -0.549
           3	   1.311	   0.179	  0.088	  1.693	   2    	        4.78	   -1.271
           5	   2.038	   0.503	  0.09 	  2.005	   5.4  	        6.07	    0.764
           5	   1.314	   0.309	  0.089	  2.458	   2.8  	        6.18	   -1.37
           4	   1.409	   0.309	  0.096	  2.458	   3.5  	        5.06	   -0.772
           4	   1.811	   0.383	  0.089	  2.239	   4.75 	        5.03	    0.228
           5	   1.145	   0.337	  0.111	  2.674	   3.6  	        5.87	   -0.667
           5	   1.328	   0.325	  0.138	  2.934	   3.2  	        5.61	   -1.525
           3	   1.311	   0.179	  0.079	  1.724	   2    	        4.51	   -1.293
           3	   2.887	   0.415	  0.062	  2.205	   6.667	        4.5 	    1.098
           3	   1.311	   0    	  0.027	  1    	   0    	        4.61	   -2.338
           4	   2.249	   0.387	  0.129	  2.958	   4.5  	        5.36	   -1.223
           5	   1.314	   0.297	  0.09 	  2.348	   2.6  	        5.61	   -1.449
           3	   1.908	   0.309	  0.109	  2.458	   4.667	        4.77	   -0.117
           3	   1.901	   0.306	  0.11 	  2.414	   4.667	        4.61	   -0.064
           4	   1.643	   0.135	  0.054	  1.69 	   2.25 	        5.25	   -1.272
           5	   1.688	   0.477	  0.136	  2.801	   4.8  	        5.72	   -0.302
           5	   1.636	   0.389	  0.123	  2.859	   4    	        5.61	   -1.007
           3	   1.542	   0.179	  0.07 	  1.724	   2    	        5.05	   -1.515
           5	   1.767	   0.403	  0.123	  3.106	   3.6  	        5.86	   -1.799
           4	   2.139	   0.435	  0.093	  2.69 	   5.25 	        5.11	   -0.107
           5	   2.455	   0.523	  0.12 	  3.234	   5    	        5.68	   -1.332
           3	   1.943	   0.238	  0.071	  1.705	   3    	        4.54	   -0.957
           3	   0.999	   0.179	  0.088	  1.693	   2    	        4.71	   -0.959
           4	   1.431	   0.319	  0.106	  2.317	   3.75 	        5.09	   -0.423
           5	   1.675	   0.439	  0.091	  2.614	   4    	        5.77	   -0.819
           3	   1.889	   0.129	  0.064	  1.733	   2.667	        4.95	   -1.148
           5	   1.888	   0.474	  0.176	  3.472	   4.6  	        5.96	   -1.41
           4	   1.457	   0.314	  0.095	  2.244	   4    	        5.17	   -0.11
           3	   2.255	   0.16 	  0.062	  1.747	   3    	        4.53	   -1.224
           4	   1.833	   0.383	  0.147	  2.921	   4.75 	        5.25	   -0.534
           5	   1.711	   0.553	  0.096	  2.395	   5.6  	        5.51	    0.845
           5	   1.675	   0.523	  0.105	  2.799	   4    	        5.5 	   -1.102
           4	   1.66 	   0.184	  0.054	  1.753	   2.25 	        5.2 	   -1.401
           5	   1.166	   0.451	  0.128	  2.707	   3.4  	        5.68	   -1.052
           4	   1.457	   0.288	  0.154	  1.968	   3.75 	        5.8 	   -0.117
           5	   1.675	   0.43 	  0.102	  2.212	   3.8  	        5.99	   -0.619
           4	   1.833	   0.364	  0.094	  2.434	   3.75 	        5.22	   -0.975
           5	   2.066	   0.453	  0.148	  3.486	   4.2  	        6.19	   -1.953
           3	   1.311	   0.047	  0.158	  1.286	   1.667	        4.83	   -1.135
           4	   2.094	   0.454	  0.105	  2.14 	   5.25 	        5.17	    0.457
           4	   1.643	   0.128	  0.056	  1.714	   2    	        5.31	   -1.541
           4	   0.983	   0.047	  0.128	  1.286	   1.25 	        5.51	   -1.194
           4	   2.139	   0.461	  0.077	  2.21 	   5    	        5.1 	    0.113
           5	   1.108	   0.1  	  0.15 	  1.928	   1.6  	        5.72	   -1.686
           5	   1.636	   0.216	  0.169	  2.624	   3    	        5.68	   -1.645
           3	   0.999	   0.179	  0.079	  1.724	   2    	        4.66	   -0.981
           5	   1.314	   0.322	  0.09 	  2.417	   2.8  	        6.08	   -1.343
           3	   1.542	   0.179	  0.07 	  1.724	   2    	        4.92	   -1.515
           3	   0.999	   0.179	  0.079	  1.724	   2    	        4.51	   -0.981
           5	   1.166	   0.478	  0.112	  2.621	   4    	        5.56	   -0.377
           4	   1.819	   0.377	  0.089	  2.282	   4.5  	        5.01	   -0.067
           4	   1.958	   0.302	  0.082	  2.27 	   3.5  	        5.61	   -1.112
           5	   1.488	   0.431	  0.157	  2.259	   4    	        5.76	   -0.335
           3	   1.311	   0    	  0.027	  1    	   0    	        5.13	   -2.338
           4	   2.312	   0.428	  0.134	  2.973	   4.5  	        5.26	   -1.347
           4	   1.715	   0.322	  0.106	  2.417	   3.5  	        5.01	   -1.06
           3	   1.311	   0.047	  0.158	  1.286	   1.667	        4.64	   -1.135
