|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                    13 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.23 |     2.271 |
|                     8 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.34 |     2.271 |
|                    21 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.45 |     2.271 |
|                    27 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.13 |     2.271 |
|                    27 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.17 |     2.271 |
|                    16 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.29 |     2.271 |
|                     3 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.16 |     2.271 |
|                    33 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.14 |     2.271 |
|                    34 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.29 |     2.921 |
|                    19 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.13 |     2.271 |
|                    19 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.25 |     2.271 |
|                    19 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.16 |     2.271 |
|                    23 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.3  |     2.744 |
|                    22 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2    |     2.921 |
|                    23 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.11 |     2.271 |
|                    34 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.12 |     2.271 |
|                    26 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.18 |     2.271 |
|                    14 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.13 |     2.271 |
|                    11 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.14 |     2.744 |
|                    14 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.13 |     2.921 |
|                     6 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.44 |     2.271 |
|                    23 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.2  |     2.271 |
|                    21 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.21 |     2.271 |
|                    21 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.19 |     2.271 |
|                    33 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.11 |     2.744 |
|                    30 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.28 |     2.921 |
|                    24 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.14 |     2.271 |
|                    15 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.34 |     2.271 |
|                    15 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.58 |     2.271 |
|                    15 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.14 |     2.271 |
|                    10 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.32 |     2.744 |
|                    13 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.21 |     2.921 |
|                     7 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.29 |     2.271 |
|                     6 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.35 |     2.744 |
|                    24 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.32 |     2.744 |
|                    33 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.14 |     2.271 |
|                    23 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.3  |     2.744 |
|                     8 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.26 |     2.921 |
|                    32 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.4  |     2.921 |
|                    21 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.36 |     2.744 |
|                    13 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.15 |     2.744 |
|                    24 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.22 |     2.921 |
|                     3 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.28 |     2.271 |
|                     4 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.19 |     2.744 |
|                    23 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.16 |     2.921 |
|                    25 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.07 |     2.921 |
|                    21 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.18 |     2.271 |
|                    20 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.64 |     2.744 |
|                     4 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.29 |     2.271 |
|                    27 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.23 |     2.271 |
|                    19 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.1  |     2.271 |
|                     6 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.99 |     2.744 |
|                    30 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.04 |     2.744 |
|                     3 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.53 |     2.271 |
|                    33 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.17 |     2.271 |
|                    33 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.22 |     2.271 |
|                     5 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.52 |     2.271 |
|                     5 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.32 |     2.271 |
|                    18 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.33 |     2.271 |
|                    16 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.28 |     2.271 |
|                    21 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.21 |     2.271 |
|                    18 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.28 |     2.271 |
|                     7 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.34 |     2.271 |
|                    22 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.18 |     2.271 |
|                    34 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.23 |     2.271 |
|                    29 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.88 |     2.271 |
|                    22 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.15 |     2.921 |
|                    29 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.38 |     2.271 |
|                    19 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.27 |     2.271 |
|                    29 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.31 |     2.921 |
|                    14 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.33 |     2.271 |
|                    14 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.28 |     2.271 |
|                     3 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.12 |     2.744 |
|                    31 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.21 |     2.921 |
|                    15 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.25 |     2.271 |
|                    17 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.08 |     2.921 |
|                    33 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.35 |     2.744 |
|                    33 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.14 |     2.271 |
|                    10 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.21 |     2.921 |
|                     5 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.25 |     2.271 |
|                    11 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.3  |     2.744 |
|                    18 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.13 |     2.271 |
|                    26 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.17 |     2.271 |
|                     5 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.15 |     2.744 |
|                    18 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.44 |     2.921 |
