  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           5	   1.884	   0.092	  0.132	  3.307	   2.4  	        7.51	   -3.015
           5	   3.072	   0.201	  0.08 	  4.006	   5    	        8.15	   -2.359
           5	   2.371	   0.245	  0.147	  3.907	   9    	        7.27	    2.33
           5	   2.118	   0.253	  0.153	  3.887	   8.6  	        7.8 	    2.189
           3	   3.246	   0.135	  0.072	  1.819	   4.667	        6.35	   -0.605
           3	   3.537	   0.155	  0.168	  2.412	   5.667	        6   	   -0.605
           4	   3.112	   0.19 	  0.104	  3.212	   7    	        7.23	    0.382
           5	   2.182	   0.079	  0.114	  4.024	   2.6  	        7.68	   -3.799
           4	   2.629	   0.15 	  0.175	  3.539	   7    	        6.85	    0.507
           5	   2.512	   0.241	  0.129	  4.374	   6.2  	        7.55	   -1.056
           4	   1.837	   0.002	  0.087	  2.996	   0.25 	        6.99	   -4.672
           3	   3.023	   0.154	  0.043	  1.843	   5.333	        7.12	    0.27
           4	   1.776	   0.004	  0.098	  2.556	   0.5  	        7.5 	   -3.934
           4	   3.104	   0.32 	  0.062	  3.385	  10    	        7.19	    3.129
           5	   2.563	   0.136	  0.07 	  3.559	   3.8  	        7.9 	   -2.528
           4	   1.367	   0.002	  0.07 	  1.996	   0.25 	        6.54	   -3.185
           5	   1.091	   0.002	  0.056	  1.996	   0.2  	        7.55	   -2.945
           5	   2.7  	   0.184	  0.047	  2.511	   5    	        7.44	   -0.442
           5	   2.369	   0.135	  0.08 	  2.817	   2.8  	        7.36	   -2.601
           4	   1.821	   0.026	  0.115	  1.663	   1    	        6.82	   -2.625
           3	   2.062	   0.038	  0.144	  2.596	   1    	        5.98	   -3.84
           4	   1.648	   0.026	  0.115	  1.663	   1    	        6.83	   -2.452
           5	   2.199	   0.055	  0.099	  3.612	   1.6  	        7.49	   -4.365
           3	   2.681	   0.143	  0.113	  1.39 	   5.667	        6.37	    1.34
           3	   2.529	   0.002	  0.033	  1.947	   0.333	        6.23	   -4.178
           3	   2.447	   0.032	  0.108	  2.46 	   2.333	        6.18	   -2.714
           4	   2.364	   0.126	  0.07 	  2.586	   5.75 	        6.83	    0.604
           5	   2.1  	   0.139	  0.132	  3.73 	   3    	        7.65	   -3.101
           3	   2.054	   0.002	  0.129	  2.667	   0.333	        5.94	   -4.519
           3	   3.086	   0.044	  0.073	  2.738	   2.667	        7.35	   -3.274
           3	   2.634	   0.016	  0.053	  1.937	   0.667	        6.06	   -3.973
           5	   1.946	   0.048	  0.143	  3.571	   1.4  	        7.13	   -4.308
           4	   3.328	   0.249	  0.094	  3.168	  10    	        7.52	    3.161
           4	   2.841	   0.251	  0.058	  2.516	   8.5  	        6.77	    2.834
           5	   2.191	   0.19 	  0.132	  4.074	   5.4  	        7.33	   -1.187
           5	   1.306	   0.002	  0.056	  1.996	   0.2  	        7.49	   -3.16
           4	   3.862	   0.37 	  0.143	  2.685	  13    	        7.26	    5.94
           3	   3.529	   0.222	  0.049	  2.751	   7.667	        6.24	    1.116
           3	   2.778	   0.054	  0.025	  1.843	   3    	        6.07	   -1.7
           3	   3.135	   0.084	  0.071	  2.75 	   3    	        6.36	   -3.04
           5	   2.311	   0.085	  0.172	  4.58 	   2.4  	        7.37	   -4.748
           5	   1.776	   0.1  	  0.082	  2.517	   3    	        7.67	   -1.475
           4	   2.097	   0.146	  0.124	  2.374	   4.25 	        6.82	   -0.491
           5	   2.034	   0.008	  0.081	  3.92 	   0.8  	        7.43	   -5.243
           3	   2.671	   0.109	  0.043	  1.795	   5    	        6.58	    0.382
           3	   3.223	   0.166	  0.039	  1.698	   8    	        6.19	    2.874
           4	   2.981	   0.156	  0.152	  3.587	   4.75 	        6.91	   -2.126
           5	   1.813	   0.278	  0.033	  1.544	   9    	        7.59	    5.332
           5	   3.084	   0.354	  0.111	  3.744	   8.4  	        7.22	    1.107
           5	   2.15 	   0.095	  0.122	  3.341	   2.8  	        7.71	   -2.908
           4	   1.755	   0.22 	  0.057	  1.336	   5    	        6.79	    1.632
           3	   2.045	   0.002	  0.044	  1.909	   0.333	        6.23	   -3.667
           3	   2.917	   0.057	  0.171	  2.473	   3.667	        6.22	   -1.951
           3	   3.459	   0.139	  0.053	  2.864	   5    	        6.5 	   -1.515
           5	   2.024	   0.143	  0.151	  3.261	   3.4  	        7.27	   -2.179
           5	   2.659	   0.252	  0.165	  4.089	   6    	        8.74	   -1.165
           5	   2.275	   0.32 	  0.102	  2.29 	   8.8  	        7.94	    3.813
           4	   1.91 	   0.038	  0.167	  3.705	   0.75 	        6.39	   -5.07
           5	   2.111	   0.077	  0.154	  3.523	   1.8  	        7.61	   -4.065
           4	   2.666	   0.156	  0.105	  2.575	   6.5  	        6.99	    0.998
           4	   2.283	   0.144	  0.188	  3.386	   4    	        6.59	   -2.001
           3	   3.173	   0.196	  0.104	  2.657	   8.667	        6.57	    2.537
           3	   3.37 	   0.056	  0.136	  2.391	   2.667	        6.32	   -3.286
           5	   2.89 	   0.338	  0.136	  3.717	  10    	        7.18	    2.919
           5	   1.528	   0.032	  0.121	  3.571	   1.4  	        7.52	   -3.852
           3	   2.281	   0.038	  0.155	  2.685	   1    	        6.37	   -4.159
           5	   1.366	   0.008	  0.116	  2.792	   0.6  	        7.4 	   -3.682
           5	   2.33 	   0.184	  0.219	  4.4  	   4.6  	        7.77	   -2.533
           4	   2.436	   0.081	  0.166	  3.362	   3    	        6.83	   -3.045
           5	   1.857	   0.071	  0.168	  4.456	   2    	        7.6 	   -4.552
           3	   2.185	   0.002	  0.176	  2.996	   0.333	        6.37	   -5.026
           4	   1.903	   0.002	  0.133	  2.996	   0.25 	        6.92	   -4.784
           5	   1.578	   0.002	  0.064	  2.8  	   0.2  	        7.2 	   -4.244
           5	   2.55 	   0.159	  0.093	  3.411	   3.4  	        7.56	   -2.813
           4	   2.384	   0.002	  0.095	  3.909	   0.25 	        7.02	   -6.14
           5	   2.391	   0.081	  0.087	  3.495	   2.4  	        7.43	   -3.654
           3	   2.185	   0.002	  0.076	  1.909	   0.333	        6.2 	   -3.839
           5	   1.939	   0.04 	  0.131	  4.7  	   0.8  	        8.5 	   -6.01
           5	   2.009	   0.042	  0.069	  2.697	   1.4  	        7.44	   -3.417
           4	   2.936	   0.167	  0.114	  3.393	   5    	        7.28	   -1.61
           4	   2.919	   0.063	  0.087	  3.244	   2.5  	        7.45	   -3.813
           4	   2.317	   0.155	  0.155	  3.303	   4.25 	        6.8 	   -1.68
           4	   2.096	   0.036	  0.1  	  2.796	   0.5  	        7.02	   -4.528
           5	   1.982	   0    	  0.074	  3    	   0    	        8.16	   -5.056
           4	   1.916	   0.026	  0.178	  2.663	   1    	        6.87	   -3.783
           4	   1.367	   0    	  0.07 	  2    	   0    	        6.74	   -3.437
           3	   2.185	   0.002	  0.16 	  2.909	   0.333	        6.23	   -4.923
           4	   1.942	   0.006	  0.117	  3.7  	   0.75 	        6.51	   -5.015
           5	   2.99 	   0.252	  0.085	  4.203	   5.2  	        7.74	   -2.33
           3	   2.564	   0.002	  0.081	  2.947	   0.333	        6.56	   -5.261
           3	   2.529	   0.053	  0.102	  2.496	   1    	        6.3 	   -4.18
           3	   2.67 	   0.002	  0.11 	  2.957	   0.333	        6.63	   -5.406
           3	   2.355	   0.036	  0.132	  2.796	   0.667	        5.94	   -4.652
           4	   2.024	   0.002	  0.146	  3.909	   0.25 	        7.42	   -5.831
           3	   2.638	   0.065	  0.079	  2.367	   2.667	        6.15	   -2.482
           3	   3.343	   0.235	  0.028	  1.761	   9.333	        5.95	    3.966
           5	   2.44 	   0.251	  0.094	  3.579	   5.8  	        8.04	   -0.564
           3	   2.676	   0.027	  0.045	  1.706	   1.667	        7.05	   -2.787
           5	   1.018	   0.036	  0.072	  1.796	   0.4  	        7.49	   -2.522
