|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                    11 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.14 |     3.622 |
|                     3 |                       7 |    2.741 |    0.488 |   0.217 |   4.519 |    4.143 |         2.3  |     2.636 |
|                     3 |                       7 |    2.741 |    0.488 |   0.217 |   4.519 |    4.143 |         2.22 |     2.636 |
|                     5 |                       7 |    2.822 |    0.538 |   0.194 |   4.473 |    4.857 |         2.11 |     3.55  |
|                     8 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.19 |     4.305 |
|                     3 |                       7 |    2.741 |    0.488 |   0.217 |   4.519 |    4.143 |         2.28 |     2.636 |
|                     9 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.39 |     4.305 |
|                     7 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.28 |     4.305 |
|                    14 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.21 |     4.305 |
|                    10 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.09 |     4.305 |
|                    12 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.54 |     3.622 |
|                     6 |                       6 |    2.691 |    0.458 |   0.218 |   4.026 |    4.5   |         2.18 |     3.405 |
|                     7 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.2  |     4.305 |
|                     9 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.17 |     4.305 |
|                    14 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.2  |     4.305 |
|                     5 |                       6 |    2.72  |    0.465 |   0.228 |   4.135 |    4.667 |         2.14 |     3.489 |
|                     3 |                       7 |    2.741 |    0.488 |   0.217 |   4.519 |    4.143 |         2.22 |     2.636 |
|                     4 |                       7 |    2.741 |    0.488 |   0.217 |   4.519 |    4.143 |         2.09 |     2.636 |
|                     4 |                       7 |    2.741 |    0.488 |   0.217 |   4.519 |    4.143 |         2.16 |     2.636 |
|                     4 |                       7 |    2.741 |    0.488 |   0.217 |   4.519 |    4.143 |         2.19 |     2.636 |
|                     4 |                       7 |    2.741 |    0.488 |   0.217 |   4.519 |    4.143 |         2.33 |     2.636 |
|                     4 |                       7 |    2.741 |    0.488 |   0.217 |   4.519 |    4.143 |         2.13 |     2.636 |
|                    16 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.37 |     4.305 |
|                    15 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.25 |     4.305 |
|                     4 |                       7 |    2.741 |    0.479 |   0.22  |   4.564 |    4     |         2.09 |     2.436 |
|                     4 |                       7 |    2.741 |    0.479 |   0.22  |   4.564 |    4     |         2.32 |     2.436 |
|                     8 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.68 |     3.622 |
|                    13 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.52 |     3.622 |
|                     6 |                       6 |    2.691 |    0.458 |   0.218 |   4.026 |    4.5   |         2.08 |     3.405 |
|                     4 |                       7 |    2.741 |    0.479 |   0.22  |   4.564 |    4     |         2.16 |     2.436 |
|                    15 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.2  |     3.622 |
|                    16 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.11 |     3.622 |
|                    11 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.16 |     3.622 |
|                    12 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.29 |     3.622 |
|                    13 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.36 |     3.622 |
|                    10 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.28 |     3.622 |
|                     4 |                       7 |    2.741 |    0.479 |   0.22  |   4.564 |    4     |         2.29 |     2.436 |
|                     5 |                       6 |    2.695 |    0.431 |   0.253 |   4.31  |    4     |         2.11 |     2.563 |
|                     8 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.18 |     3.622 |
|                     4 |                       7 |    2.741 |    0.479 |   0.22  |   4.564 |    4     |         2.37 |     2.436 |
|                    11 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.22 |     3.622 |
|                     7 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.06 |     3.622 |
|                     9 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.17 |     3.622 |
|                    10 |                       6 |    2.691 |    0.468 |   0.228 |   3.809 |    4.5   |         2.24 |     3.622 |
|                    14 |                       7 |    2.797 |    0.59  |   0.194 |   4.031 |    5.143 |         2.19 |     4.305 |
