  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           4	   2.348	   0.145	  0.166	  2.804	   2    	        5.9 	   -3.463
           5	   1.504	   0.123	  0.102	  2.843	   1.6  	        6.4 	   -2.972
           4	   3.089	   0.374	  0.132	  3.005	   5.5  	        5.32	   -1.1
           4	   2.205	   0.227	  0.144	  2.517	   3.25 	        5.5 	   -1.843
           3	   2.765	   0.154	  0.279	  2.589	   3    	        5.01	   -2.787
           4	   1.707	   0.114	  0.065	  1.856	   1.75 	        5.72	   -1.992
           4	   2.405	   0.142	  0.157	  2.347	   2    	        5.46	   -3.051
           3	   2.427	   0.05 	  0.084	  1.981	   0.667	        5.19	   -3.875
           5	   2.972	   0.272	  0.249	  4.415	   3    	        5.99	   -4.908
           5	   2.477	   0.329	  0.128	  3.005	   3.8  	        6.28	   -2.139
           5	   2.918	   0.359	  0.213	  3.626	   4    	        6.34	   -3.116
           3	   3.146	   0.231	  0.142	  2.604	   4.333	        5.11	   -1.79
           3	   3.421	   0.279	  0.103	  2.256	   6    	        5.19	   -0.059
           3	   2.276	   0.081	  0.143	  2.534	   2    	        5.19	   -3.034
           4	   3.305	   0.271	  0.157	  3.65 	   3.75 	        5.95	   -3.633
           3	   2.663	   0.162	  0.112	  2.54 	   3    	        5.02	   -2.477
           4	   2.549	   0.233	  0.068	  2.279	   3.5  	        5.76	   -1.629
           5	   2.779	   0.293	  0.114	  3.086	   3.6  	        5.79	   -2.672
           5	   3.215	   0.284	  0.131	  4.293	   3.4  	        5.82	   -4.523
           3	   2.409	   0.097	  0.087	  1.646	   1.667	        4.72	   -2.572
           5	   1.45 	   0.107	  0.105	  2.634	   1.2  	        5.97	   -3.096
           5	   2.718	   0.39 	  0.151	  3.839	   4.4  	        6.07	   -2.698
           4	   2.887	   0.301	  0.159	  3.21 	   4    	        5.57	   -2.557
           3	   2.948	   0.245	  0.169	  2.439	   5    	        5.55	   -0.801
