  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           3	   3.283	   0.324	  0.171	  2.322	   6    	        4.91	   -0.1
           2	   3.379	   0.15 	  0.11 	  1.719	   5    	        4.04	   -0.358
           4	   2.328	   0.395	  0.196	  2.484	   5.25 	        5.05	   -0.153
           3	   3.179	   0.43 	  0.098	  2.205	   7.667	        4.49	    1.755
           3	   3.108	   0.233	  0.142	  2.135	   4.667	        4.41	   -0.951
           2	   2.418	   0.063	  0.222	  1.39 	   2    	        3.91	   -2.093
           3	   3.283	   0.347	  0.167	  2.269	   6.333	        4.79	    0.267
           3	   3.283	   0.349	  0.125	  2.299	   6.333	        4.38	    0.277
           2	   3.367	   0.12 	  0.122	  1.364	   3.5  	        3.84	   -1.473
           3	   2.484	   0.173	  0.16 	  2.114	   4    	        4.4 	   -0.931
           2	   3.379	   0.139	  0.113	  1.695	   4.5  	        4.21	   -0.826
           3	   3.283	   0.289	  0.183	  2.27 	   5.667	        4.53	   -0.358
           4	   2.462	   0.399	  0.167	  2.633	   5.25 	        4.94	   -0.411
           2	   3.605	   0.298	  0.085	  1.545	   9    	        3.98	    3.467
           3	   3.299	   0.445	  0.143	  2.217	   7.333	        4.58	    1.229
           3	   2.253	   0.184	  0.243	  2.279	   4    	        4.47	   -0.959
           3	   3.283	   0.347	  0.164	  2.292	   6.333	        4.46	    0.247
           3	   3.097	   0.434	  0.111	  1.995	   7.333	        4.46	    1.696
           3	   3.499	   0.346	  0.197	  1.98 	   5.667	        4.53	   -0.355
           3	   3.491	   0.356	  0.183	  2.278	   6    	        4.57	   -0.308
           4	   2.462	   0.329	  0.138	  2.318	   4.75 	        5.02	   -0.497
           3	   2.634	   0.166	  0.192	  2.006	   4    	        4.51	   -0.998
           2	   3.605	   0.345	  0.058	  1.504	   9.5  	        3.86	    3.988
           4	   2.077	   0.298	  0.331	  2.649	   4.25 	        4.92	   -1.105
           2	   3.379	   0.104	  0.126	  1.634	   4    	        3.92	   -1.243
           4	   1.69 	   0.283	  0.225	  2.571	   4    	        5.02	   -0.769
           3	   2.253	   0.128	  0.087	  1.703	   3    	        4.77	   -1.171
           2	   1.869	   0.047	  0.014	  0.991	   0.5  	        4.24	   -2.421
           3	   2.253	   0.155	  0.078	  1.717	   3.667	        4.62	   -0.536
           2	   3.414	   0.247	  0.079	  1.844	   7    	        3.94	    1.416
           2	   3.726	   0.205	  0.171	  1.659	   4.5  	        3.95	   -1.261
           3	   2.85 	   0.336	  0.223	  1.932	   6.333	        4.57	    0.992
           4	   2.462	   0.352	  0.086	  2.264	   5    	        4.97	   -0.164
           4	   2.462	   0.401	  0.072	  2.08 	   5.25 	        5.1 	    0.235
           4	   1.964	   0.183	  0.287	  2.679	   3.25 	        5.13	   -1.863
           4	   2.618	   0.407	  0.176	  2.637	   5    	        5.05	   -0.838
           4	   2.618	   0.407	  0.176	  2.637	   5    	        5.2 	   -0.838
           3	   3.232	   0.333	  0.154	  1.954	   6.333	        4.52	    0.66
           3	   3.299	   0.329	  0.16 	  2.29 	   6.333	        4.65	    0.255
           3	   2.819	   0.358	  0.113	  1.853	   7.333	        4.47	    2.19
           2	   3.414	   0.247	  0.079	  1.844	   7    	        4.04	    1.416
           4	   2.737	   0.399	  0.23 	  2.642	   5.25 	        5.11	   -0.758
           3	   2.77 	   0.416	  0.201	  1.92 	   7.333	        4.46	    2.026
           2	   3.379	   0.184	  0.082	  1.613	   6    	        4.25	    0.742
           3	   2.253	   0.168	  0.251	  2.282	   3.667	        4.53	   -1.287
           3	   3.347	   0.305	  0.177	  2.019	   5.333	        4.67	   -0.515
           2	   3.379	   0.139	  0.113	  1.695	   4.5  	        3.95	   -0.826
           3	   3.306	   0.384	  0.147	  2.128	   6.667	        4.72	    0.702
           4	   2.462	   0.356	  0.089	  2.185	   5.75 	        5.06	    0.658
           4	   2.462	   0.445	  0.121	  2.236	   5.5  	        4.98	    0.236
           2	   3.414	   0.313	  0.036	  1.473	   7.5  	        4.14	    2.264
           2	   3.379	   0.123	  0.123	  1.703	   4    	        4.05	   -1.328
           4	   1.69 	   0.213	  0.148	  2.148	   3.25 	        5.23	   -0.949
           2	   3.379	   0.139	  0.113	  1.695	   4.5  	        3.98	   -0.826
           4	   2.462	   0.445	  0.135	  2.486	   6.5  	        4.99	    0.972
           3	   2.403	   0.273	  0.225	  2.194	   5.333	        4.7 	    0.238
           2	   3.605	   0.414	  0.076	  1.524	  10    	        3.92	    4.381
           3	   2.253	   0.262	  0.229	  2.243	   4.667	        4.54	   -0.32
